Scenario,Amount,Time,current_fp,current_mult,current_fp_per_$,gaussian_fp,gaussian_mult,gaussian_fp_per_$,parabola_fp,parabola_mult,parabola_fp_per_$,piecewise_fp,piecewise_mult,piecewise_fp_per_$,smooth_fp,smooth_mult,smooth_fp_per_$,asymmetric_fp,asymmetric_mult,asymmetric_fp_per_$
New Micro Player,$10,1d,1042,1.0424784413925263,104.24784413925263,2506,2.506061378738518,250.60613787385182,1095,1.0959337532156546,109.59337532156546,1048,1.0481134402878494,104.81134402878494,1003,1.0033388881509735,100.33388881509735,1007,1.0072129787838764,100.72129787838763
Casual New Player,$50,3d,5714,1.1428571428571428,114.28571428571428,13234,2.6468888941501545,264.6888894150154,6738,1.3477753862546817,134.77753862546817,5871,1.1743000714249732,117.43000714249733,5174,1.0348788383229846,103.48788383229845,5226,1.0452669250711093,104.52669250711092
Entry Player (1 week),$100,7d,12972,1.2972972972972974,129.72972972972974,28983,2.8983486094703523,289.8348609470352,17843,1.784343288302913,178.4343288302913,14013,1.4013776741499455,140.13776741499456,11676,1.1676101131290133,116.76101131290133,11539,1.153966634524783,115.3966634524783
Growing Player (2 weeks),$250,14d,39545,1.5818181818181818,158.1818181818182,86817,3.4727098745567537,347.27098745567537,68991,2.7596651783561414,275.9665178356141,48905,1.9562305898749053,195.62305898749054,42806,1.7122640720392914,171.22640720392914,37888,1.5155270126960347,151.5527012696035
Mid-tier (3 weeks),$500,21d,94117,1.8823529411764703,188.23529411764704,210834,4.2166982993279465,421.6698299327947,196395,3.9279024325749305,392.79024325749305,140901,2.818033988749895,281.8033988749895,145701,2.9140339887498956,291.40339887498953,113127,2.262542188119603,226.25421881196027
TARGET SWEET SPOT,"$1,000",35d,230769,2.3076923076923075,230.76923076923075,500000,5.000000000000001,500.0000000000001,500000,5.000000000000001,500.0000000000001,500000,5.000000000000001,500.0000000000001,500000,5.000000000000001,500.0000000000001,500000,5.000000000000001,500.0000000000001
Above Target Amount,"$1,500",35d,369230,2.4615384615384617,246.15384615384616,676442,4.509616443203624,450.9616443203624,646352,4.3090169943749475,430.90169943749476,747906,4.986040747361111,498.6040747361111,749968,4.999789208306239,499.97892083062385,746259,4.975062395963412,497.5062395963412
"Target Amount, Long Hold","$1,000",60d,250000,2.5,250.0,409138,4.09138832077394,409.138832077394,358983,3.5898306007652,358.98306007651996,478064,4.780640315674587,478.0640315674587,495053,4.9505349162329955,495.0534916232995,463871,4.638717431642764,463.87174316427644
2x Target Amount,"$2,000",35d,512820,2.5641025641025634,256.41025641025635,700297,3.5014882670692784,350.1488267069279,447213,2.23606797749979,223.606797749979,994416,4.972081494722221,497.2081494722221,999831,4.999159681761357,499.9159681761357,990049,4.950249168745842,495.02491687458416
Large Player (10 weeks),"$5,000",70d,1558333,3.1166666666666667,311.66666666666663,782960,1.5659203707340907,156.59203707340907,500000,1.0,100.0,2294040,4.588081518678422,458.8081518678422,2446146,4.892293013656197,489.2293013656196,2162555,4.325111465553707,432.5111465553708
Whale (3+ months),"$10,000",100d,3377622,3.3776223776223775,337.76223776223776,1083527,1.0835274506692412,108.35274506692411,1000000,1.0,100.0,4207059,4.2070595035353,420.70595035352994,4635051,4.635051344603706,463.50513446037064,3760071,3.7600712715969133,376.0071271596913
Big Whale,"$25,000",150d,8990384,3.5961538461538467,359.61538461538464,2500671,1.0002685762044063,100.02685762044062,2500000,1.0,100.0,8640308,3.456123540097312,345.6123540097312,9558999,3.8235996968326886,382.3599696832689,6963823,2.7855293090608697,278.552930906087
Mega Whale,"$50,000",250d,18742997,3.7485994397759104,374.859943977591,5000000,1.0000000000001945,100.00000000001944,5000000,1.0,100.0,11308235,2.2616470690354884,226.16470690354885,10534335,2.106867002627522,210.68670026275223,8035553,1.6071106066719567,160.71106066719568
"MAXIMUM (50 weeks, $100k)","$100,000",350d,38230849,3.8230849400729547,382.30849400729545,10000000,1.0,100.0,10000000,1.0,100.0,10000000,1.0,100.0,10000000,1.0,100.0,10000000,1.0,100.0
Long-term Micro,$100,350d,20956,2.095693779904306,209.56937799043058,16564,1.6564707474973055,165.64707474973056,12348,1.23485291572496,123.485291572496,11236,1.123606797749979,112.36067977499792,10346,1.034609903369994,103.4609903369994,10390,1.039087901516971,103.9087901516971
Flash Deposit Whale,"$10,000",1d,1970674,1.970674486803519,197.0674486803519,1591372,1.5913722812022564,159.13722812022564,1069623,1.0696234207734578,106.96234207734577,2198699,2.1986991696816323,219.86991696816324,2213833,2.2138334124150405,221.38334124150407,2055811,2.055811665907801,205.5811665907801
